"paragraphnum","charname","speechcount"
575,"Duke",32
580,"First Lord",6
599,"Duke",32
601,"First Lord",6
620,"Duke",32
621,"Second Lord",2
623,"Duke",32
626,"First Lord",6
628,"(stage directions)",126
1398,"Orlando",120
629,"Frederick",20
632,"First Lord",6
636,"Second Lord",2
645,"Frederick",20
651,"(stage directions)",126
652,"Orlando",120
653,"Adam",10
667,"Orlando",120
668,"Adam",10
681,"Orlando",120
682,"Adam",10
683,"Orlando",120
873,"Jaques (lord)",57
690,"Adam",10
708,"Orlando",120
721,"Adam",10
730,"(stage directions)",126
731,"(stage directions)",126
732,"Rosalind",201
733,"Touchstone",74
734,"Rosalind",201
738,"Celia",108
739,"Touchstone",74
742,"Rosalind",201
743,"Touchstone",74
745,"(stage directions)",126
746,"Rosalind",201
748,"Corin",24
749,"Silvius",24
751,"Silvius",24
758,"Corin",24
759,"Silvius",24
770,"Rosalind",201
772,"Touchstone",74
781,"Rosalind",201
782,"Touchstone",74
784,"Rosalind",201
786,"Touchstone",74
787,"Celia",108
790,"Touchstone",74
791,"Rosalind",201
792,"Corin",24
793,"Touchstone",74
794,"Corin",24
795,"Rosalind",201
796,"Corin",24
797,"Rosalind",201
857,"Jaques (lord)",57
802,"Corin",24
815,"Rosalind",201
816,"Corin",24
818,"Rosalind",201
821,"Celia",108
823,"Corin",24
829,"(stage directions)",126
830,"Amiens",10
838,"Jaques (lord)",57
839,"Amiens",10
840,"Jaques (lord)",57
842,"Amiens",10
843,"Jaques (lord)",57
845,"Amiens",10
846,"Jaques (lord)",57
848,"Amiens",10
849,"Jaques (lord)",57
854,"Amiens",10
870,"Jaques (lord)",57
872,"Amiens",10
882,"Amiens",10
1400,"Jaques (lord)",57
149,"Duke of Exeter",46
883,"Jaques (lord)",57
886,"Amiens",10
887,"(stage directions)",126
889,"(stage directions)",126
890,"Adam",10
892,"Orlando",120
905,"(stage directions)",126
906,"Duke",32
908,"First Lord",6
910,"Duke",32
913,"(stage directions)",126
914,"First Lord",6
915,"Duke",32
918,"Jaques (lord)",57
941,"Duke",32
942,"Jaques (lord)",57
950,"Duke",32
951,"Jaques (lord)",57
969,"Duke",32
970,"Jaques (lord)",57
971,"Duke",32
977,"Jaques (lord)",57
995,"(stage directions)",126
996,"Orlando",120
997,"Jaques (lord)",57
998,"Orlando",120
999,"Jaques (lord)",57
1000,"Duke",32
1003,"Orlando",120
1009,"Jaques (lord)",57
1010,"Duke",32
1012,"Orlando",120
1013,"Duke",32
1014,"Orlando",120
1028,"Duke",32
1035,"Orlando",120
1042,"Duke",32
1044,"Orlando",120
1045,"Duke",32
1049,"Jaques (lord)",57
1077,"(stage directions)",126
1078,"Duke",32
1080,"Orlando",120
1081,"Adam",10
1201,"Corin",24
1291,"Rosalind",201
1083,"Duke",32
1104,"Duke",32
1116,"(stage directions)",126
1117,"Frederick",20
1129,"Oliver",37
1131,"Frederick",20
1136,"(stage directions)",126
1137,"Orlando",120
1147,"(stage directions)",126
1148,"Corin",24
1287,"Touchstone",74
1289,"(stage directions)",126
1290,"Celia",108
1149,"Touchstone",74
1158,"Corin",24
1165,"Touchstone",74
1167,"Corin",24
1168,"Touchstone",74
1169,"Corin",24
1170,"Touchstone",74
1172,"Corin",24
1173,"Touchstone",74
1177,"Corin",24
1182,"Touchstone",74
1183,"Corin",24
1185,"Touchstone",74
1188,"Corin",24
1189,"Touchstone",74
1191,"Corin",24
1194,"Touchstone",74
1198,"Corin",24
1199,"Touchstone",74
1205,"Touchstone",74
1212,"Corin",24
1213,"(stage directions)",126
1214,"Rosalind",201
1222,"Touchstone",74
1225,"Rosalind",201
1226,"Touchstone",74
1241,"Rosalind",201
1242,"Touchstone",74
1243,"Rosalind",201
1247,"Touchstone",74
1250,"Rosalind",201
1252,"Celia",108
1282,"Rosalind",201
1285,"Celia",108
1294,"Rosalind",201
1296,"Celia",108
1298,"Rosalind",201
1302,"Celia",108
1303,"Rosalind",201
1304,"Celia",108
1306,"Rosalind",201
1307,"Celia",108
1309,"Rosalind",201
1310,"Celia",108
1311,"Rosalind",201
1313,"Celia",108
1315,"Rosalind",201
1323,"Celia",108
1324,"Rosalind",201
1326,"Celia",108
1327,"Rosalind",201
1330,"Celia",108
1332,"Rosalind",201
1334,"Celia",108
1335,"Rosalind",201
1336,"Celia",108
1337,"Rosalind",201
1342,"Celia",108
1496,"Orlando",120
1345,"Rosalind",201
1347,"Celia",108
1351,"Rosalind",201
1353,"Celia",108
1354,"Rosalind",201
1355,"Celia",108
1356,"Rosalind",201
1358,"Celia",108
1360,"Rosalind",201
1361,"Celia",108
1363,"Rosalind",201
1365,"Celia",108
1366,"(stage directions)",126
1367,"Rosalind",201
1368,"Jaques (lord)",57
1370,"Orlando",120
1372,"Jaques (lord)",57
1373,"Orlando",120
1374,"Jaques (lord)",57
1376,"Orlando",120
1378,"Jaques (lord)",57
1379,"Orlando",120
1380,"Jaques (lord)",57
1381,"Orlando",120
1383,"Jaques (lord)",57
1384,"Orlando",120
1385,"Jaques (lord)",57
1387,"Orlando",120
1389,"Jaques (lord)",57
1392,"Orlando",120
1394,"Jaques (lord)",57
1395,"Orlando",120
1397,"Jaques (lord)",57
1401,"Orlando",120
1402,"Jaques (lord)",57
1403,"Orlando",120
1405,"(stage directions)",126
1406,"Rosalind",201
1409,"Orlando",120
1410,"Rosalind",201
1411,"Orlando",120
1413,"Rosalind",201
1416,"Orlando",120
1418,"Rosalind",201
1422,"Orlando",120
1423,"Rosalind",201
1427,"Orlando",120
1428,"Rosalind",201
1434,"Orlando",120
1435,"Rosalind",201
1437,"Orlando",120
1438,"Rosalind",201
1440,"Orlando",120
1441,"Rosalind",201
1443,"Orlando",120
1444,"Rosalind",201
1445,"Orlando",120
1552,"Touchstone",74
1557,"Jaques (lord)",57
1447,"Rosalind",201
1453,"Orlando",120
1455,"Rosalind",201
1458,"Orlando",120
1459,"Rosalind",201
1466,"Orlando",120
1468,"Rosalind",201
1471,"Orlando",120
1472,"Rosalind",201
1481,"Orlando",120
1482,"Rosalind",201
1487,"Orlando",120
1489,"Rosalind",201
1490,"Orlando",120
1491,"Rosalind",201
3001,"Richard III",246
1497,"Rosalind",201
1511,"Orlando",120
1512,"Rosalind",201
1514,"Orlando",120
1515,"Rosalind",201
1517,"Orlando",120
1518,"Rosalind",201
1521,"(stage directions)",126
1522,"Touchstone",74
1525,"Audrey",12
1526,"Touchstone",74
1528,"Jaques (lord)",57
1530,"Touchstone",74
1534,"Audrey",12
1536,"Touchstone",74
1539,"Audrey",12
1540,"Touchstone",74
1543,"Audrey",12
1544,"Touchstone",74
1546,"Jaques (lord)",57
1547,"Audrey",12
1549,"Touchstone",74
1551,"Audrey",12
1558,"Audrey",12
1559,"Touchstone",74
1575,"Sir Oliver Martext",3
1576,"Touchstone",74
1577,"Sir Oliver Martext",3
1578,"Jaques (lord)",57
1579,"Touchstone",74
1583,"Jaques (lord)",57
1584,"Touchstone",74
1587,"Jaques (lord)",57
1592,"Touchstone",74
1596,"Jaques (lord)",57
1597,"Touchstone",74
1608,"Sir Oliver Martext",3
1611,"(stage directions)",126
1612,"Rosalind",201
1613,"Celia",108
1615,"Rosalind",201
1616,"Celia",108
1617,"Rosalind",201
1618,"Celia",108
1620,"Rosalind",201
3002,"(stage directions)",126
1621,"Celia",108
1622,"Rosalind",201
1624,"Celia",108
1627,"Rosalind",201
1629,"Celia",108
1630,"Rosalind",201
1631,"Celia",108
1634,"Rosalind",201
1635,"Celia",108
1636,"Rosalind",201
1637,"Celia",108
1641,"Rosalind",201
1645,"Celia",108
1651,"(stage directions)",126
1652,"Corin",24
1657,"Celia",108
1658,"Corin",24
1663,"Rosalind",201
1668,"(stage directions)",126
1669,"Silvius",24
1676,"(stage directions)",126
1839,"Jaques (lord)",57
1677,"Phebe",23
1697,"Silvius",24
1702,"Phebe",23
1706,"Rosalind",201
1736,"Phebe",23
1738,"Rosalind",201
1742,"Phebe",23
1743,"Rosalind",201
1752,"Phebe",23
1754,"Silvius",24
1755,"Phebe",23
1756,"Silvius",24
1757,"Phebe",23
1758,"Silvius",24
1762,"Phebe",23
1763,"Silvius",24
1840,"(stage directions)",126
1841,"Rosalind",201
1844,"Orlando",120
1920,"Duke of Norfolk",48
1764,"Phebe",23
1772,"Silvius",24
1778,"Phebe",23
1779,"Silvius",24
1782,"Phebe",23
1809,"Silvius",24
1810,"Phebe",23
1816,"(stage directions)",126
1817,"Jaques (lord)",57
1819,"Rosalind",201
1820,"Jaques (lord)",57
1821,"Rosalind",201
1824,"Jaques (lord)",57
1825,"Rosalind",201
1826,"Jaques (lord)",57
1835,"Rosalind",201
1845,"Jaques (lord)",57
1846,"Rosalind",201
1853,"Orlando",120
1854,"Rosalind",201
1859,"Orlando",120
1860,"Rosalind",201
1862,"Orlando",120
1863,"Rosalind",201
1866,"Orlando",120
1867,"Rosalind",201
1870,"Orlando",120
1871,"Rosalind",201
1872,"Celia",108
1874,"Rosalind",201
1877,"Orlando",120
1878,"Rosalind",201
1883,"Orlando",120
1884,"Rosalind",201
1886,"Orlando",120
1887,"Rosalind",201
1889,"Orlando",120
1890,"Rosalind",201
1892,"Orlando",120
1894,"Rosalind",201
1895,"Orlando",120
1896,"Rosalind",201
1908,"Orlando",120
1910,"Rosalind",201
1913,"Orlando",120
1914,"Rosalind",201
1915,"Orlando",120
1916,"Rosalind",201
1917,"Orlando",120
1918,"Rosalind",201
1919,"Orlando",120
1920,"Rosalind",201
1923,"Orlando",120
1924,"Celia",108
1925,"Rosalind",201
1926,"Celia",108
1927,"Orlando",120
1928,"Rosalind",201
1929,"Orlando",120
1930,"Rosalind",201
1931,"Orlando",120
1932,"Rosalind",201
1935,"Orlando",120
1936,"Rosalind",201
1938,"Orlando",120
1988,"Rosalind",201
1991,"Celia",108
2201,"Oliver",37
2202,"Rosalind",201
1939,"Rosalind",201
1948,"Orlando",120
1949,"Rosalind",201
1950,"Orlando",120
1951,"Rosalind",201
1955,"Orlando",120
1957,"Rosalind",201
1959,"Orlando",120
1960,"Rosalind",201
1965,"Orlando",120
1966,"Rosalind",201
1967,"Orlando",120
1969,"Rosalind",201
1973,"Orlando",120
1974,"Rosalind",201
1981,"Orlando",120
1983,"Rosalind",201
1985,"Celia",108
1993,"Rosalind",201
1999,"Celia",108
2001,"(stage directions)",126
2002,"Jaques (lord)",57
2003,"Lord",2
2004,"Jaques (lord)",57
2007,"Lord",2
2008,"Jaques (lord)",57
2022,"(stage directions)",126
2023,"Rosalind",201
2025,"Celia",108
2028,"(stage directions)",126
2029,"Silvius",24
2036,"Rosalind",201
2044,"Silvius",24
2046,"Rosalind",201
2054,"Silvius",24
2119,"Oliver",37
2055,"Rosalind",201
2061,"Silvius",24
2063,"Rosalind",201
2067,"Silvius",24
2068,"Rosalind",201
2088,"Silvius",24
2089,"Celia",108
2090,"Rosalind",201
2097,"(stage directions)",126
2098,"(stage directions)",126
2099,"Oliver",37
2102,"Celia",108
2107,"Oliver",37
2114,"Celia",108
2115,"Oliver",37
2118,"Rosalind",201
2123,"Oliver",37
2146,"Celia",108
2149,"Oliver",37
2151,"Rosalind",201
2153,"Oliver",37
2159,"Celia",108
2160,"Rosalind",201
2161,"Celia",108
2162,"Oliver",37
2165,"Rosalind",201
2166,"Oliver",37
2185,"(stage directions)",126
2186,"Celia",108
2187,"Oliver",37
2188,"Celia",108
2189,"Oliver",37
2190,"Rosalind",201
2191,"Celia",108
2193,"Oliver",37
2195,"Rosalind",201
2198,"Oliver",37
2200,"Rosalind",201
2795,"Second Servingman",19
2204,"Celia",108
2206,"Oliver",37
2208,"Rosalind",201
2212,"(stage directions)",126
2213,"Touchstone",74
2214,"Audrey",12
2216,"Touchstone",74
2219,"Audrey",12
2221,"(stage directions)",126
2222,"Touchstone",74
2225,"William",11
2226,"Audrey",12
2227,"William",11
2228,"Touchstone",74
2230,"William",11
2231,"Touchstone",74
2232,"William",11
2233,"Touchstone",74
2234,"William",11
2235,"Touchstone",74
2237,"William",11
2238,"Touchstone",74
2240,"William",11
2241,"Touchstone",74
2247,"William",11
2248,"Touchstone",74
2249,"William",11
2250,"Touchstone",74
2255,"William",11
2357,"Silvius",24
2256,"Touchstone",74
2266,"Audrey",12
2267,"William",11
2268,"(stage directions)",126
2269,"Corin",24
2270,"Touchstone",74
2271,"(stage directions)",126
2273,"(stage directions)",126
2274,"Orlando",120
2278,"Oliver",37
2285,"Orlando",120
2288,"(stage directions)",126
2289,"Rosalind",201
2290,"Oliver",37
2291,"Rosalind",201
2293,"Orlando",120
2294,"Rosalind",201
2296,"Orlando",120
2297,"Rosalind",201
2299,"Orlando",120
2363,"Phebe",23
2364,"Orlando",120
2365,"Rosalind",201
2366,"Phebe",23
2367,"Silvius",24
2368,"Orlando",120
2369,"Rosalind",201
2370,"Orlando",120
2300,"Rosalind",201
2310,"Orlando",120
2315,"Rosalind",201
2317,"Orlando",120
2318,"Rosalind",201
2333,"Orlando",120
2334,"Rosalind",201
2340,"Phebe",23
2342,"Rosalind",201
2346,"Phebe",23
2347,"Silvius",24
2349,"Phebe",23
2350,"Orlando",120
2351,"Rosalind",201
2352,"Silvius",24
2354,"Phebe",23
2355,"Orlando",120
2356,"Rosalind",201
2536,"Rosalind",201
2371,"Rosalind",201
2382,"Silvius",24
2383,"Phebe",23
2384,"Orlando",120
2386,"(stage directions)",126
2387,"Touchstone",74
2389,"Audrey",12
2392,"(stage directions)",126
2393,"First Page",3
2394,"Touchstone",74
2395,"Second Page",2
2396,"First Page",3
2399,"Second Page",2
2420,"Touchstone",74
2422,"First Page",3
2424,"Touchstone",74
2428,"(stage directions)",126
2429,"Duke",32
2431,"Orlando",120
2433,"(stage directions)",126
2244,"(stage directions)",126
2434,"Rosalind",201
2437,"Duke",32
2438,"Rosalind",201
2439,"Orlando",120
2440,"Rosalind",201
2441,"Phebe",23
2442,"Rosalind",201
2444,"Phebe",23
2445,"Rosalind",201
2446,"Silvius",24
2447,"Rosalind",201
2455,"(stage directions)",126
2456,"Duke",32
2458,"Orlando",120
2465,"(stage directions)",126
2466,"Jaques (lord)",57
2469,"Touchstone",74
2470,"Jaques (lord)",57
2473,"Touchstone",74
2478,"Jaques (lord)",57
2479,"Touchstone",74
2481,"Jaques (lord)",57
2482,"Duke",32
2538,"Duke",32
2539,"Orlando",120
2540,"Phebe",23
309,"Adriana",79
2483,"Touchstone",74
2490,"Duke",32
2491,"Touchstone",74
2493,"Jaques (lord)",57
2495,"Touchstone",74
2507,"Jaques (lord)",57
2508,"Touchstone",74
2511,"Jaques (lord)",57
2512,"Touchstone",74
2523,"Jaques (lord)",57
2525,"Duke",32
2796,"Coriolanus",189
2542,"Rosalind",201
2545,"Hymen",1
2568,"Duke",32
2570,"Phebe",23
2573,"Jaques (son)",2
2589,"Duke",32
2603,"Jaques (lord)",57
2606,"Jaques (son)",2
100,"Solinus",22
242,"Antipholus of Syracuse",103
244,"Dromio of Ephesus",63
2607,"Jaques (lord)",57
2617,"Duke",32
2618,"Jaques (lord)",57
2620,"Duke",32
2622,"(stage directions)",126
2623,"Rosalind",201
2641,"(stage directions)",126
5,"Aegeon",17
7,"Solinus",22
30,"Aegeon",17
32,"Solinus",22
35,"Aegeon",17
102,"Aegeon",17
125,"Solinus",22
128,"Aegeon",17
144,"Solinus",22
160,"Gaoler",1
161,"Aegeon",17
163,"(stage directions)",126
168,"First Merchant",3
238,"Antipholus of Syracuse",103
241,"Dromio of Ephesus",63
310,"Luciana",43
176,"Antipholus of Syracuse",103
184,"Dromio of Syracuse",99
186,"(stage directions)",126
187,"Antipholus of Syracuse",103
192,"First Merchant",3
198,"Antipholus of Syracuse",103
200,"First Merchant",3
201,"(stage directions)",126
202,"Antipholus of Syracuse",103
213,"Dromio of Ephesus",63
223,"Antipholus of Syracuse",103
225,"Dromio of Ephesus",63
228,"Antipholus of Syracuse",103
232,"Dromio of Ephesus",63
307,"Adriana",79
247,"Antipholus of Syracuse",103
251,"Dromio of Ephesus",63
256,"Antipholus of Syracuse",103
257,"Dromio of Ephesus",63
260,"Antipholus of Syracuse",103
262,"Dromio of Ephesus",63
264,"(stage directions)",126
265,"Antipholus of Syracuse",103
276,"(stage directions)",126
279,"(stage directions)",126
280,"Adriana",79
283,"Luciana",43
289,"Adriana",79
290,"Luciana",43
291,"Adriana",79
292,"Luciana",43
293,"Adriana",79
294,"Luciana",43
305,"Adriana",79
306,"Luciana",43
311,"Adriana",79
321,"Luciana",43
323,"(stage directions)",126
324,"Adriana",79
325,"Dromio of Ephesus",63
327,"Adriana",79
328,"Dromio of Ephesus",63
330,"Luciana",43
331,"Dromio of Ephesus",63
334,"Adriana",79
336,"Dromio of Ephesus",63
337,"Adriana",79
338,"Dromio of Ephesus",63
349,"Luciana",43
350,"Dromio of Ephesus",63
355,"Adriana",79
356,"Dromio of Ephesus",63
358,"Adriana",79
359,"Dromio of Ephesus",63
361,"Adriana",79
362,"Dromio of Ephesus",63
366,"(stage directions)",126
3030,"(stage directions)",126
367,"Luciana",43
368,"Adriana",79
383,"Luciana",43
384,"Adriana",79
397,"Luciana",43
398,"(stage directions)",126
401,"(stage directions)",126
402,"Antipholus of Syracuse",103
415,"Dromio of Syracuse",99
416,"Antipholus of Syracuse",103
417,"Dromio of Syracuse",99
419,"Antipholus of Syracuse",103
422,"Dromio of Syracuse",99
424,"Antipholus of Syracuse",103
426,"(stage directions)",126
427,"Dromio of Syracuse",99
1286,"Antipholus of Ephesus",76
429,"Antipholus of Syracuse",103
438,"Dromio of Syracuse",99
443,"Antipholus of Syracuse",103
444,"Dromio of Syracuse",99
445,"Antipholus of Syracuse",103
446,"Dromio of Syracuse",99
448,"Antipholus of Syracuse",103
450,"Dromio of Syracuse",99
454,"Antipholus of Syracuse",103
455,"Dromio of Syracuse",99
456,"Antipholus of Syracuse",103
458,"Dromio of Syracuse",99
459,"Antipholus of Syracuse",103
460,"Dromio of Syracuse",99
461,"Antipholus of Syracuse",103
462,"Dromio of Syracuse",99
463,"Antipholus of Syracuse",103
464,"Dromio of Syracuse",99
466,"Antipholus of Syracuse",103
468,"Dromio of Syracuse",99
469,"Antipholus of Syracuse",103
470,"Dromio of Syracuse",99
472,"Antipholus of Syracuse",103
473,"Dromio of Syracuse",99
475,"Antipholus of Syracuse",103
476,"Dromio of Syracuse",99
478,"Antipholus of Syracuse",103
480,"Dromio of Syracuse",99
482,"Antipholus of Syracuse",103
483,"Dromio of Syracuse",99
484,"Antipholus of Syracuse",103
485,"Dromio of Syracuse",99
487,"Antipholus of Syracuse",103
488,"Dromio of Syracuse",99
489,"Antipholus of Syracuse",103
490,"Dromio of Syracuse",99
491,"Antipholus of Syracuse",103
492,"Dromio of Syracuse",99
493,"Antipholus of Syracuse",103
494,"Dromio of Syracuse",99
497,"Antipholus of Syracuse",103
499,"Dromio of Syracuse",99
501,"Antipholus of Syracuse",103
503,"Dromio of Syracuse",99
505,"Antipholus of Syracuse",103
507,"(stage directions)",126
508,"Adriana",79
545,"Antipholus of Syracuse",103
550,"Luciana",43
553,"Antipholus of Syracuse",103
554,"Dromio of Syracuse",99
555,"Adriana",79
558,"Antipholus of Syracuse",103
560,"Dromio of Syracuse",99
561,"Antipholus of Syracuse",103
563,"Dromio of Syracuse",99
564,"Antipholus of Syracuse",103
1895,"Macduff",59
566,"Adriana",79
579,"Antipholus of Syracuse",103
585,"Luciana",43
586,"Dromio of Syracuse",99
591,"Luciana",43
593,"Dromio of Syracuse",99
594,"Antipholus of Syracuse",103
595,"Dromio of Syracuse",99
596,"Antipholus of Syracuse",103
597,"Dromio of Syracuse",99
598,"Luciana",43
599,"Dromio of Syracuse",99
602,"Adriana",79
611,"Antipholus of Syracuse",103
616,"Dromio of Syracuse",99
617,"Adriana",79
618,"Luciana",43
619,"(stage directions)",126
726,"Dromio of Syracuse",99
727,"Antipholus of Ephesus",76
624,"Antipholus of Ephesus",76
634,"Dromio of Ephesus",63
638,"Antipholus of Ephesus",76
639,"Dromio of Ephesus",63
643,"Antipholus of Ephesus",76
645,"Balthazar",5
647,"Antipholus of Ephesus",76
649,"Balthazar",5
650,"Antipholus of Ephesus",76
651,"Balthazar",5
652,"Antipholus of Ephesus",76
656,"Dromio of Ephesus",63
657,"Dromio of Syracuse",99
663,"Dromio of Ephesus",63
665,"Dromio of Syracuse",99
667,"Antipholus of Ephesus",76
668,"Dromio of Syracuse",99
670,"Antipholus of Ephesus",76
671,"Dromio of Syracuse",99
673,"Antipholus of Ephesus",76
674,"Dromio of Syracuse",99
1040,"Angelo",31
676,"Dromio of Ephesus",63
681,"Luce",7
683,"Dromio of Ephesus",63
684,"Luce",7
686,"Dromio of Ephesus",63
688,"Luce",7
690,"Dromio of Syracuse",99
692,"Antipholus of Ephesus",76
693,"Luce",7
694,"Dromio of Syracuse",99
695,"Dromio of Ephesus",63
696,"Antipholus of Ephesus",76
697,"Luce",7
698,"Dromio of Ephesus",63
699,"Luce",7
700,"Antipholus of Ephesus",76
701,"Luce",7
702,"Adriana",79
704,"Dromio of Syracuse",99
706,"Antipholus of Ephesus",76
707,"Adriana",79
708,"Dromio of Ephesus",63
709,"Angelo",31
711,"Balthazar",5
712,"Dromio of Ephesus",63
713,"Antipholus of Ephesus",76
714,"Dromio of Ephesus",63
717,"Antipholus of Ephesus",76
718,"Dromio of Syracuse",99
720,"Dromio of Ephesus",63
722,"Dromio of Syracuse",99
724,"Dromio of Ephesus",63
728,"Dromio of Ephesus",63
731,"Antipholus of Ephesus",76
732,"Balthazar",5
754,"Antipholus of Ephesus",76
771,"Angelo",31
772,"Antipholus of Ephesus",76
773,"(stage directions)",126
776,"(stage directions)",126
777,"Luciana",43
866,"Dromio of Syracuse",99
870,"Antipholus of Syracuse",103
1043,"Antipholus of Ephesus",76
1045,"Angelo",31
805,"Antipholus of Syracuse",103
829,"Luciana",43
830,"Antipholus of Syracuse",103
831,"Luciana",43
832,"Antipholus of Syracuse",103
833,"Luciana",43
834,"Antipholus of Syracuse",103
835,"Luciana",43
836,"Antipholus of Syracuse",103
837,"Luciana",43
838,"Antipholus of Syracuse",103
843,"Luciana",43
844,"Antipholus of Syracuse",103
848,"Luciana",43
850,"(stage directions)",126
851,"(stage directions)",126
852,"Antipholus of Syracuse",103
853,"Dromio of Syracuse",99
855,"Antipholus of Syracuse",103
856,"Dromio of Syracuse",99
857,"Antipholus of Syracuse",103
858,"Dromio of Syracuse",99
860,"Antipholus of Syracuse",103
861,"Dromio of Syracuse",99
865,"Antipholus of Syracuse",103
982,"Officer",11
1048,"Officer",11
871,"Dromio of Syracuse",99
877,"Antipholus of Syracuse",103
878,"Dromio of Syracuse",99
881,"Antipholus of Syracuse",103
882,"Dromio of Syracuse",99
883,"Antipholus of Syracuse",103
884,"Dromio of Syracuse",99
887,"Antipholus of Syracuse",103
888,"Dromio of Syracuse",99
891,"Antipholus of Syracuse",103
892,"Dromio of Syracuse",99
893,"Antipholus of Syracuse",103
894,"Dromio of Syracuse",99
895,"Antipholus of Syracuse",103
896,"Dromio of Syracuse",99
898,"Antipholus of Syracuse",103
899,"Dromio of Syracuse",99
902,"Antipholus of Syracuse",103
903,"Dromio of Syracuse",99
904,"Antipholus of Syracuse",103
905,"Dromio of Syracuse",99
909,"Antipholus of Syracuse",103
910,"Dromio of Syracuse",99
1036,"Angelo",31
1038,"Second Merchant",13
1039,"Officer",11
920,"Antipholus of Syracuse",103
927,"Dromio of Syracuse",99
929,"(stage directions)",126
930,"Antipholus of Syracuse",103
939,"(stage directions)",126
940,"Angelo",31
941,"Antipholus of Syracuse",103
942,"Angelo",31
945,"Antipholus of Syracuse",103
946,"Angelo",31
947,"Antipholus of Syracuse",103
948,"Angelo",31
952,"Antipholus of Syracuse",103
954,"Angelo",31
955,"(stage directions)",126
956,"Antipholus of Syracuse",103
963,"(stage directions)",126
966,"(stage directions)",126
967,"Second Merchant",13
973,"Angelo",31
983,"Antipholus of Ephesus",76
989,"Dromio of Ephesus",63
990,"(stage directions)",126
991,"Antipholus of Ephesus",76
996,"Angelo",31
1003,"Antipholus of Ephesus",76
1009,"Angelo",31
1010,"Antipholus of Ephesus",76
1011,"Angelo",31
1012,"Antipholus of Ephesus",76
1014,"Angelo",31
1017,"Antipholus of Ephesus",76
1021,"Second Merchant",13
1022,"Angelo",31
1023,"Antipholus of Ephesus",76
1024,"Angelo",31
1026,"Antipholus of Ephesus",76
1028,"Second Merchant",13
1031,"Antipholus of Ephesus",76
1032,"Angelo",31
1033,"Antipholus of Ephesus",76
1034,"Angelo",31
1035,"Antipholus of Ephesus",76
1049,"Antipholus of Ephesus",76
1052,"Angelo",31
1054,"(stage directions)",126
1055,"Dromio of Syracuse",99
1063,"Antipholus of Ephesus",76
1065,"Dromio of Syracuse",99
1066,"Antipholus of Ephesus",76
1068,"Dromio of Syracuse",99
1070,"Antipholus of Ephesus",76
1081,"Dromio of Syracuse",99
1086,"(stage directions)",126
1089,"(stage directions)",126
1090,"Adriana",79
1096,"Luciana",43
1097,"Adriana",79
1098,"Luciana",43
1099,"Adriana",79
1100,"Luciana",43
1101,"Adriana",79
1102,"Luciana",43
1103,"Adriana",79
1104,"Luciana",43
1106,"Adriana",79
1107,"Luciana",43
1108,"Adriana",79
1114,"Luciana",43
1116,"Adriana",79
1120,"(stage directions)",126
1121,"Dromio of Syracuse",99
1122,"Luciana",43
1123,"Dromio of Syracuse",99
1124,"Adriana",79
1125,"Dromio of Syracuse",99
1135,"Adriana",79
1136,"Dromio of Syracuse",99
1137,"Adriana",79
1138,"Dromio of Syracuse",99
1141,"Adriana",79
1146,"Dromio of Syracuse",99
1148,"Adriana",79
1149,"Dromio of Syracuse",99
1152,"Adriana",79
1153,"Dromio of Syracuse",99
1155,"Adriana",79
1156,"Dromio of Syracuse",99
1162,"(stage directions)",126
1282,"Antipholus of Ephesus",76
1283,"Dromio of Ephesus",63
1163,"Adriana",79
1167,"(stage directions)",126
1170,"(stage directions)",126
1171,"Antipholus of Syracuse",103
1182,"(stage directions)",126
1183,"Dromio of Syracuse",99
1185,"Antipholus of Syracuse",103
1186,"Dromio of Syracuse",99
1191,"Antipholus of Syracuse",103
1192,"Dromio of Syracuse",99
1199,"Antipholus of Syracuse",103
1200,"Dromio of Syracuse",99
1204,"Antipholus of Syracuse",103
1205,"Dromio of Syracuse",99
1210,"Antipholus of Syracuse",103
1213,"(stage directions)",126
1214,"Courtezan",11
1217,"Antipholus of Syracuse",103
1218,"Dromio of Syracuse",99
1219,"Antipholus of Syracuse",103
1284,"Antipholus of Ephesus",76
1285,"Dromio of Ephesus",63
3235,"Junius Brutus",91
1220,"Dromio of Syracuse",99
1227,"Courtezan",11
1229,"Dromio of Syracuse",99
1231,"Antipholus of Syracuse",103
1232,"Dromio of Syracuse",99
1234,"Antipholus of Syracuse",103
1237,"Courtezan",11
1240,"Dromio of Syracuse",99
1246,"Courtezan",11
1248,"Antipholus of Syracuse",103
1249,"Dromio of Syracuse",99
1250,"(stage directions)",126
1251,"Courtezan",11
1267,"(stage directions)",126
1270,"(stage directions)",126
1271,"Antipholus of Ephesus",76
1281,"Dromio of Ephesus",63
1287,"Dromio of Ephesus",63
1288,"Antipholus of Ephesus",76
1289,"(stage directions)",126
1290,"Officer",11
1291,"Dromio of Ephesus",63
1292,"Officer",11
1293,"Dromio of Ephesus",63
1294,"Antipholus of Ephesus",76
1295,"Dromio of Ephesus",63
1297,"Antipholus of Ephesus",76
1299,"Dromio of Ephesus",63
1310,"Antipholus of Ephesus",76
1311,"(stage directions)",126
1312,"Dromio of Ephesus",63
1315,"Antipholus of Ephesus",76
1316,"(stage directions)",126
1317,"Courtezan",11
1318,"Adriana",79
1322,"Luciana",43
1323,"Courtezan",11
1324,"Pinch",6
1325,"Antipholus of Ephesus",76
